CardName,CardType,Description
Tindangle Protector," Flip Effect Monster  Fiend  800  1600","FLIP: You can change up to 3 face-down Defense Position monsters you control to face-up Defense Position, then if all those monsters are ""Tindangle"" monsters, you can add up to that many ""Tindangle"" cards from your Deck to your hand. You can only use this effect of ""Tindangle Protector"" once per turn."
Trading Places," Spell Card  Quick-Play","If your LP is higher than your opponent's, switch your LP with your opponent."
Trickstar Crimson Heart," Link Monster  Fairy  2000","2 ""Trickstar"" monsters Each time a ""Trickstar"" monster(s) is Normal or Special Summoned to a zone(s) this card points to, gain 200 LP. You can discard 1 ""Trickstar"" card; both players draw 1 card, but if your LP was at least 2000 higher than your opponent's when this effect was activated, you draw 2 cards instead. You can only use this effect of ""Trickstar Crimson Heart"" once per turn."
Triple Burst Dragon," Link Monster  Dragon  2400","2+ monsters, except Tokens Once per turn, during the Damage Step, when a Spell/Trap Card, or monster effect, is activated (Quick Effect): You can negate the activation. If this card attacks a Defense Position monster, inflict piercing battle damage. During your Main Phase, except the turn this card was Special Summoned: You can Tribute this card, then target 1 Link-2 or lower monster in your GY; Special Summon it, then you can Special Summon 1 Level 4 or lower Dragon monster from your hand."
Underclock Taker," Link Monster  Cyberse  1000","2 Effect Monsters Once per turn: You can target 1 face-up monster this card points to and 1 face-up monster your opponent controls; the opponent's target loses ATK equal to the ATK of the target this monster points to, until the end of this turn."
Vector Scare Archfiend," Link Monster  Cyberse  2400","2+ Cyberse monsters When this card destroys an opponent's monster by battle and sends it to the GY: You can Tribute 1 monster that this card points to; Special Summon that destroyed monster to any zone this card points to. If you Special Summon to your opponent's field by this effect, this card can make a second attack during this Battle Phase (although your opponent gains control of that Special Summoned monster)."
Vendread Battlelord," Ritual Effect Monster  Zombie  2700","You can Ritual Summon this card with any ""Vendread"" Ritual Spell. You can banish 1 ""Vendread"" card from your GY and declare 1 type of card (Monster, Spell, or Trap); for the rest of this turn, your opponent cannot activate cards or effects of that type. If this Ritual Summoned card is sent to the GY: You can add 1 Ritual Monster from your Deck to your hand, and if you do, send 1 ""Vendread"" monster from your Deck to the GY. You can only use each effect of ""Vendread Battlelord"" once per turn."
Vendread Charge," Spell Card  Quick-Play","Send 1 Zombie monster from your hand or face-up from your field to the GY; Special Summon 1 ""Vendread"" monster from your Deck. You can only activate 1 ""Vendread Charge"" per turn."
Vendread Core," Effect Monster  Zombie  500","If this card is in your GY: You can banish 1 other Zombie monster from your GY; Special Summon this card, but banish it when it leaves the field. A ""Vendread"" monster Ritual Summoned using this card on the field gains the following effect. You can only use each of the preceding effects of ""Vendread Core"" once per turn. ● Your opponent cannot target this card with card effects."
Vendread Revolution," Trap Card  Normal","Discard 1 card, then target 1 ""Vendread"" monster and 1 Ritual Spell in your GY; Special Summon that monster in Defense Position, and if you do, add that Ritual Spell to your hand. You can banish this card from your GY, then target 5 of your banished Zombie monsters; shuffle them into your Deck, then draw 1 card. You can only use each effect of ""Vendread Revolution"" once per turn."
Wattkinetic Puppeteer," Effect Monster  Psychic  1800","(Quick Effect): You can send this card from your hand or field to the GY, then target 1 monster your opponent controls; move that target to another of their Main Monster Zones."
"World Legacy - ""World Shield"""," Effect Monster  Machine  3000","Unaffected by activated effects from any monster Special Summoned from the Extra Deck. Your opponent cannot target your ""World Legacy"" cards in this card's column with card effects, also they cannot be destroyed by your opponent's card effects. During the Standby Phase, if this card is in your GY: You can pay 1000 LP; Special Summon this card, then your opponent can Special Summon 1 monster from their hand or GY. You can only use this effect of ""World Legacy - ""World Shield"""" once per turn."
World Legacy Key," Spell Card  Continuous","When this card is activated: You can target 1 of your banished ""Mekk-Knight"" monsters or ""World Legacy"" cards; add it to your hand. Negate any opponent's Trap effect that activates in the same column as a ""Mekk-Knight"" monster you control."
World Legacy Whispers," Trap Card  Continuous","When this card is activated: You can target 1 Level 5 or higher monster on the field; it gains 1000 ATK/DEF until the end of this turn. Negate any opponent's Spell effect that activates in the same column as a ""Mekk-Knight"" monster you control."
World Legacy's Secret," Trap Card  Continuous","When this card is activated: You can target 1 Level 5 or higher monster in your GY; Special Summon it. When this card leaves the field, destroy that monster. Negate any opponent's monster effect that activates in the same column as a ""Mekk-Knight"" monster you control."
Yoko-Zuna Sumo Spirit," Pendulum Effect Monster  Warrior  2400  1000","[ Pendulum Effect ] If a monster(s) is Pendulum Summoned: Return this card from the Pendulum Zone to the hand. ---------------------------------------- [ Monster Effect ] When this card is Normal Summoned: You can send to the GY all monsters your opponent controls in the same column as the card(s) in your Pendulum Zones. Once per turn, during the End Phase, if this card was Normal Summoned or flipped face-up this turn: Return this card to the hand."
Zefra Metaltron," Link Monster  Wyrm  2500","2+ monsters Special Summoned from the Extra Deck If a monster(s) this card points to that was Special Summoned from the Extra Deck is destroyed by battle or an opponent's card effect: Add 1 monster from your GY or 1 face-up Pendulum Monster from your Extra Deck to your hand. You can target 1 monster on each player's field that was Special Summoned from the Extra Deck, except this card; banish both until the End Phase. You can only use each effect of ""Zefra Metaltron"" once per turn."
Zombino," Normal Monster  Zombie  2000",The two are so close They die and return to life Inseparable
Ancient Gear Frame," Effect Monster  Machine  1600  500","You can discard 1 card; add 1 ""Ancient Gear Golem"", or 1 Spell/Trap that specifically lists the card ""Ancient Gear Golem"" in its text, from your Deck to your hand. You can only use this effect of ""Ancient Gear Frame"" once per turn. If this card attacks, your opponent cannot activate Spell/Trap Cards until the end of the Damage Step. If this face-up card in its owner's control leaves the field because of an opponent's card effect: You can Special Summon up to 3 ""Ancient Gear Golem"" and/or ""Ancient Gear Golem - Ultimate Pound"" from your hand, ignoring their Summoning conditions."
Ancient Gear Fusion," Spell Card  Normal","Fusion Summon 1 ""Ancient Gear"" Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material. If you use ""Ancient Gear Golem"" or ""Ancient Gear Golem - Ultimate Pound"" you control as Fusion Material, you can also use monsters from your Deck as material."
Ancient Gear Megaton Golem," Fusion Monster  Machine  3300  3300","3 ""Ancient Gear"" monsters If this card attacks, your opponent cannot activate Spell/Trap Cards until the end of the Damage Step. If this card was Fusion Summoned using 2 or more ""Ancient Gear Golem"" and/or ""Ancient Gear Golem - Ultimate Pound"" as material, it can attack up to that many times during each Battle Phase. If this face-up Fusion Summoned card in its owner's control leaves the field because of an opponent's card effect: You can Special Summon 1 ""Ultimate Ancient Gear Golem"" from your Extra Deck, ignoring its Summoning conditions."
Armed Dragon Catapult Cannon," Fusion Monster  Machine  3500  3000","""VWXYZ-Dragon Catapult Cannon"" + ""Armed Dragon LV7"" Must first be Special Summoned (from your Extra Deck) during a Duel you Special Summoned both the above cards, by banishing the above cards from your field and/or GY. (You do not use ""Polymerization"".) Your opponent cannot activate cards or effects with the same name as any banished card. Once per turn, during your opponent's turn (Quick Effect): You can banish 1 card from your Deck or Extra Deck, face-up; banish all cards your opponent controls and in their GY."
BM-4 Blast Spider," Effect Monster  Machine  1400  2200","Once per turn: You can target 1 DARK Machine monster you control and 1 face-up card your opponent controls; destroy them. If a monster you control that was originally a DARK Machine destroys an opponent's monster(s) by battle or card effect and sends it to the GY: You can inflict damage to your opponent equal to half the original ATK of 1 of those monster(s) destroyed and sent to the GY. You can only use this effect of ""BM-4 Blast Spider"" once per turn."
Cocoon of Ultra Evolution," Spell Card  Quick-Play","Tribute 1 Insect monster from either field equipped with an Equip Card, and if you do, Special Summon 1 Insect monster from your Deck, ignoring its Summoning conditions. During your Main Phase: You can banish this card from your GY, then target 1 Insect monster in your GY; shuffle it into the Deck, then draw 1 card. You can only use this effect of ""Cocoon of Ultra Evolution"" once per turn."
Corrosive Scales," Trap Card  Normal","Target 1 Insect monster you control; equip this card to it. While you control the equipped monster, your opponent's monsters cannot attack Insect monsters, except the equipped monster. While this card is equipped to a monster, each time your opponent Normal or Special Summons a monster(s), OR activates a card or effect, place 1 Scale Counter on each face-up monster they control. Each monster your opponent controls loses 100 ATK/DEF for each Scale Counter it has."
Cross-Dimensional Duel," Trap Card  Normal","Target 1 ""Ancient Gear"" monster you control; banish it. During the next Standby Phase, return that banished monster to the field, and if you do, its ATK becomes double its original ATK until the end of that turn. If 1 or more ""Ancient Gear Golem"" or ""Ancient Gear Golem - Ultimate Pound"" you control would be destroyed by battle or card effect, you can banish this card from your GY instead."
Crystal Bond," Spell Card  Normal","Add 1 ""Crystal Beast"" monster from your Deck to your hand, and place 1 ""Crystal Beast"" monster with a different name from your Deck face-up in your Spell & Trap Zone as a Continuous Spell. You can only activate 1 ""Crystal Bond"" per turn."
Desperado Barrel Dragon," Effect Monster  Machine  2800  2200","If a face-up DARK Machine monster(s) you control is destroyed by battle or card effect: You can Special Summon this card from your hand. Once per turn, during the Battle Phase (Quick Effect): You can toss a coin 3 times; destroy face-up monsters on the field, up to the number of heads, then if the result was 3 heads, draw 1 card. This card cannot attack the turn this effect is activated. If this card is sent to the GY: You can add 1 Level 7 or lower monster that has a coin tossing effect, from your Deck to your hand."
Heavy Metal Raiders," Spell Card  Field","The first time each DARK Machine monster you control would be destroyed by battle each turn, it is not destroyed, and if you took battle damage from the battle, it gains that much ATK after damage calculation, and keeps that ATK gain as long as this card is on the field. Once per turn, if a monster you control that was originally a DARK Machine destroys a card(s) on the field by battle or card effect: You can Special Summon 1 DARK Machine monster from your hand."
Illusionist Faceless Magician," Effect Monster  Spellcaster  1200  2200","If a face-up ""Eyes Restrict"" Fusion Monster(s) or ""Relinquished"" you control is destroyed by battle or card effect: You can Special Summon this card from the GY (if it was there when that monster was destroyed) or hand (even if not). If this card is sent from the field to the GY: You can target 1 ""Eyes Restrict"" Fusion Monster or ""Relinquished"" in your GY; Special Summon it. You can only use each effect of ""Illusionist Faceless Magician"" once per turn."
Metamorphosed Insect Queen," Effect Monster  Insect  2800  2400","Cannot be Normal Summoned/Set. Must be Special Summoned by a card effect. If another Insect monster is on the field, your opponent cannot target Insect monsters you control with card effects, also they cannot be destroyed by your opponent's card effects. At the end of the Damage Step, if this card attacked: You can Tribute 1 monster; this card can attack an opponent's monster again in a row. Once per turn, during the End Phase: You can Special Summon 1 ""Insect Monster Token"" (Insect/EARTH/Level 1/ATK 100/DEF 100)."
Millennium-Eyes Illusionist," Effect Monster  Spellcaster  1400","(Quick Effect): You can discard this card, then target 1 Effect Monster your opponent controls; equip that target to an ""Eyes Restrict"" Fusion Monster or ""Relinquished"" you control, as if it were equipped by that monster's effect. If an ""Eyes Restrict"" Fusion Monster(s) or a ""Relinquished"" is Special Summoned: Add this card from your GY to your hand (this is not optional). You can only use each effect of ""Millennium-Eyes Illusionist"" once per turn."
Millennium-Eyes Restrict," Fusion Monster  Spellcaster","""Relinquished"" + 1 Effect Monster Once per turn, when your opponent activates a monster effect (Quick Effect): You can target 1 Effect Monster your opponent controls or in their GY; equip that target to this card you control. This card gains ATK/DEF equal to that equipped monster's. Monsters with that equipped monster's name cannot attack, also their effects on the field and their activated effects are negated."
Ojama Pajama," Trap Card  Continuous","If an ""Armed Dragon"" monster(s) and/or a LIGHT Machine Fusion Monster(s) you control would be destroyed by battle or card effect, you can banish 1 ""Ojama"" card from your hand, face-up field, or GY instead. You can only use each of the following effects of ""Ojama Pajama"" once per turn. ● During the Main Phase: You can add 1 ""Ojama"" card from your Deck to your hand, then discard 1 card. ● If this card is sent to the GY: You can Special Summon as many of your banished ""Ojama"" monsters as possible."
Ojamassimilation," Spell Card  Normal","Reveal 1 LIGHT Machine Fusion Monster from your Extra Deck and banish any number of ""Ojama"" monsters from your hand, face-up field, and/or GY; Special Summon Fusion Materials with different names whose names are specifically listed on the card you revealed, from your hand, Deck, and/or GY, equal to the number of monsters banished to activate this effect. You can banish this card from your GY, then target 3 of your banished ""Ojama"" monsters; shuffle them into the Deck, then draw 1 card."
Ojamatch," Spell Card  Quick-Play","Send 1 ""Ojama"" card from your hand or face-up from your field to the GY; add to your hand, 1 ""Ojama"" monster with a different name and 1 ""Armed Dragon"" monster from your Deck and/or GY, then, immediately after this effect resolves, you can Normal Summon 1 of those monsters. During your Main Phase: You can banish this card from your GY, then target 3 of your banished ""Ojama"" monsters; shuffle them into the Deck, then draw 1 card."
Parasite Paranoid," Effect Monster  Insect  500  300","(Quick Effect): You can target 1 face-up monster on the field; equip this card from your hand to that target. The equipped monster becomes an Insect monster, cannot attack Insect monsters, also its effects that activate by targeting an Insect monster(s) are negated. You can only use this effect of ""Parasite Paranoid"" once per turn. If this Equip Card is sent to the GY: You can Special Summon 1 Level 7 or higher Insect monster from your hand, ignoring its Summoning conditions."
Proton Blast," Trap Card  Continuous","Once per turn, if an activated card effect tosses coins, immediately after it resolves, apply the following effect(s), depending on the number of heads. ● 1+: Inflict 500 damage to your opponent. ● 2+: Destroy 1 card your opponent controls. ● 3+: Look at your opponent's hand and discard 1 card from their hand. When an effect is activated that tosses a coin 2 or more times: You can banish this card from the GY; treat all results as heads."
Rainbow Bridge," Spell Card  Normal","Add 1 ""Crystal"" Spell/Trap from your Deck to your hand."
Rainbow Overdragon," Fusion Monster  Dragon  4000","7 ""Crystal Beast"" monsters (This card is always treated as an ""Ultimate Crystal"" card.) Must be either Fusion Summoned, or Special Summoned by Tributing 1 Level 10 ""Ultimate Crystal"" monster (in which case you do not use ""Polymerization""). Once per turn: You can banish 1 ""Crystal Beast"" monster from your GY; this card gains ATK equal to the banished monster's, until the end of this turn. (Quick Effect): You can Tribute this Fusion Summoned card; shuffle all cards on the field into the Deck."
Relinquished Fusion," Spell Card  Quick-Play","Fusion Summon 1 ""Eyes Restrict"" Fusion Monster from your Extra Deck, by banishing materials from your hand, field and/or GY. During your Main Phase: You can banish this card from your GY, then target 1 Effect Monster your opponent controls; equip that target to an ""Eyes Restrict"" Fusion Monster or ""Relinquished"" you control, as if it were equipped by that monster's effect. You can only use each effect of ""Relinquished Fusion"" once per turn."
Ultimate Crystal Magic," Trap Card  Normal","When your ""Crystal Beast"" monster is destroyed by battle: You can send 7 ""Crystal Beast"" cards with different names from your hand, Deck and/or face-up field to the GY; Special Summon 1 ""Ultimate Crystal"" Fusion Monster from your Extra Deck. (This is treated as a Fusion Summon.) If a face-up ""Ultimate Crystal"" monster you control leaves the field because of an opponent's card effect: You can banish this card from your GY; place any number of ""Crystal Beast"" monsters from your GY, face-up in your Spell & Trap Zone as Continuous Spells."
D/D/D Destiny King Zero Laplace," Pendulum Effect Monster  Fiend","[ Pendulum Effect ] During your Main Phase: You can add 1 face-up ""D/D/D"" Pendulum Monster from your Extra Deck to your hand, except ""D/D/D Destiny King Zero Laplace"". You can only use this effect of ""D/D/D Destiny King Zero Laplace"" once per turn. ---------------------------------------- [ Monster Effect ] You can Special Summon this card (from your hand) by Tributing 1 ""D/D/D"" monster. Before damage calculation, if this card battles an opponent's monster: You can activate this effect; this card's ATK becomes double that opponent's monster's original ATK until the end of the Damage Step. If this card attacks a Defense Position monster, inflict piercing battle damage. The first time this card would be destroyed by battle each turn, it is not destroyed, also you take no battle damage from that battle."
Destruction Dragon," Fusion Monster  Dragon  2000  3000","Must be Special Summoned with ""The Fang of Critias"", using ""Ring of Destruction"". Once per turn: You can target 1 card your opponent controls; destroy it. Then, if it was a Monster Card, inflict damage to your opponent equal to its original ATK."
Dragon Revival Rhapsody," Spell Card  Normal","If you control a Spellcaster monster: You can target up to 2 Dragon monsters in your GY, including at least 1 Normal Monster; Special Summon them. Your opponent takes no damage this turn. You can only activate 1 ""Dragon Revival Rhapsody"" per turn."
Goddess of Sweet Revenge," Effect Monster  Fairy  1800  2000","While you control no cards and this is the only card in your hand, when an opponent's monster declares an attack: You can discard this card; destroy as many cards as possible your opponent controls, then you can Special Summon 1 monster from your Deck."
Loop of Destruction," Trap Card  Continuous","This card's name becomes ""Ring of Destruction"" while on the field. Once per turn, if a monster(s) on the field is destroyed by a card effect (except during the Damage Step): You can target 1 monster on the field; destroy it, and if you do, each player takes 500 damage."
The King of D.," Effect Monster  Spellcaster  1200  1100","This card's name becomes ""Lord of D."" while on the field. When this card is Normal Summoned: You can discard 1 Spell/Trap; add 1 ""The Flute of Summoning Dragon"", ""The Melody of Awakening Dragon"", or ""Dragon Revival Rhapsody"" from your Deck to your hand."
Called by the Grave," Spell Card  Quick-Play","Target 1 monster in your opponent's GY; banish it, and if you do, until the end of the next turn, its effects are negated, as well as the activated effects and effects on the field of monsters with the same original name."
Mekk-Knight Avram," Normal Monster  Psychic  2000","""Check THIS out!"""
"Ahrima, the Wicked Warden"," Effect Monster  Fiend  1700","You can discard this card; add 1 ""Lair of Darkness"" from your Deck to your hand. You can Tribute 1 DARK monster; draw 1 card, or, if you Tributed a DARK monster other than this card to activate this effect, you can add 1 DARK monster with 2000 or more DEF from your Deck to your hand, instead. You can only use this effect of ""Ahrima, the Wicked Warden"" once per turn."
"Darkest Diabolos, Lord of the Lair"," Effect Monster  Dragon  3000  2000","Your opponent cannot Tribute this face-up card on the field, and cannot target it with card effects. You can only use each of these effects of ""Darkest Diabolos, Lord of the Lair"" once per turn. ● If a DARK monster you control is Tributed (except during the Damage Step): You can Special Summon this card from your GY (if it was there when you Tributed) or hand (even if not). ● You can Tribute 1 DARK monster; your opponent places 1 card from their hand on either the top or bottom of the Deck."
"Duke Shade, the Sinister Shadow Lord"," Effect Monster  Fiend  500  2000","You can Tribute any number of DARK monsters; Special Summon this card from your hand, and if you do, it gains 500 ATK for each monster you Tributed. If this card is Normal or Special Summoned: You can target 1 Level 5 or higher DARK monster in your GY; add it to your hand. You can only use each effect of ""Duke Shade, the Sinister Shadow Lord"" once per turn. You cannot Special Summon monsters the turn you activate either of this card's effects, except DARK monsters."
Grinning Grave Virus," Trap Card  Normal","Tribute 1 DARK monster with 3000 or less ATK; your opponent destroys 1 card (of their choice) in their hand or Deck for every 500 ATK that monster had on the field. If you Tributed a monster with 2000 or more ATK to activate this card, look at all cards your opponent draws until the end of their 3rd turn after this card's activation, and destroy all monsters among them. Cards destroyed and sent to the GY by this card's effects cannot activate their own effects that same turn."
Lair of Darkness," Spell Card  Field","All face-up monsters on the field become DARK. Once per turn, if you would Tribute a monster you control to activate a card effect, you can Tribute 1 DARK monster your opponent controls, even though you do not control it. Once per turn, during the End Phase: Special Summon as many ""Torment Tokens"" (Fiend/DARK/Level 3/ATK 1000/DEF 1000) as possible to the turn player's field in Defense Position, up to the number of monsters Tributed this turn while this card was face-up."
"Lilith, Lady of Lament"," Effect Monster  Fiend  2000","If this card is Normal Summoned, its original ATK becomes 1000. (Quick Effect): You can Tribute 1 DARK monster; reveal 3 Normal Traps from your Deck, your opponent randomly chooses 1 for you to Set on your field, and you shuffle the rest back into your Deck. You can only use this effect of ""Lilith, Lady of Lament"" once per turn."
Torment Token," Token  Fiend  1000  1000","This card can be used as a ""Torment Token"". *If used for another Token, apply that Token's Type/Attribute/Level/ATK/DEF."
Monster Reborn Reborn," Spell Card  Normal","Target 3 monsters in your GY; your opponent chooses 1, you Special Summon it, and if you do, banish the rest. You can only activate 1 ""Monster Reborn Reborn"" per turn."
Summon Sorceress," Link Monster  Spellcaster  2400","2+ monsters with the same Type, except Tokens If this card is Link Summoned: You can Special Summon 1 monster from your hand in Defense Position, to your opponent's zone this card points to. You can target 1 face-up monster this card points to; Special Summon 1 monster from your Deck in Defense Position, with the same Type as that monster, to a zone this card points to, but negate its effects. You can only use this effect of ""Summon Sorceress"" once per turn."
Altergeist Emulatelf," Trap Card  Continuous","Special Summon this card as an Effect Monster (Spellcaster/LIGHT/Level 4/ATK 1400/DEF 1800). (This card is also still a Trap.) If Summoned this way, while it is in the Monster Zone, other ""Altergeist"" Traps you control cannot be destroyed by card effects, also neither player can target them with card effects."
Altergeist Kidolga," Link Monster  Spellcaster  1000","2 ""Altergeist"" monsters When another ""Altergeist"" monster you control inflicts battle damage to your opponent: You can target 1 monster in their GY; Special Summon it to your zone this card points to, but each turn, it cannot attack unless this card has already declared an attack that turn. If this card is destroyed by battle: You can target 1 ""Altergeist"" card in your GY; add it to your hand."
Altergeist Multifaker," Effect Monster  Spellcaster  1200  800","If you activate a Trap Card (except during the Damage Step): You can Special Summon this card from your hand. If this card is Special Summoned: You can Special Summon 1 ""Altergeist"" monster from your Deck in Defense Position, except ""Altergeist Multifaker"". You cannot Special Summon monsters the turn you activate this effect, except ""Altergeist"" monsters. You can only use each effect of ""Altergeist Multifaker"" once per turn."
Altergeist Pixiel," Effect Monster  Spellcaster  100  100","You can Tribute this card; excavate the top 3 cards of your Deck, add 1 excavated ""Altergeist"" card to your hand, also send the rest to the GY. You can only use this effect of ""Altergeist Pixiel"" once per turn."
Background Dragon," Effect Monster  Dragon  1600  1800","If this card is in the GY and you control no cards: You can Special Summon both this card, and 1 Level 4 or lower Dragon monster from your hand, in Defense Position, but banish this card when it leaves the field. You can only use this effect of ""Background Dragon"" once per turn."
Backup Operator," Effect Monster  Cyberse  1200  800","You can target 1 face-up monster that a Link Monster you control points to; Special Summon this card from your hand, and if you do, return that monster to the hand. If Special Summoned this way, banish this card when it leaves the field. You can only use this effect of ""Backup Operator"" once per turn."
Batteryman Solar," Effect Monster  Thunder  1500  1500","If this card is Normal or Special Summoned: You can send 1 Thunder monster from your Deck to the GY. If a Thunder monster(s) is Normal or Special Summoned while this monster is on the field: Special Summon 1 ""Batteryman Token"" (Thunder/LIGHT/Level 1/ATK 0/DEF 0). You can target 1 ""Batteryman"" Effect Monster you control or in your GY; this card's name becomes that monster's until the End Phase. You can only use each effect of ""Batteryman Solar"" once per turn."
Boycotton," Effect Monster  Plant  1000  2500","You take any battle damage your opponent would have taken from battles involving this card, instead. If this card battles, is not destroyed, and you took damage from that battle: Return this card to the hand."
Crystal Conclave," Trap Card  Continuous","Once per turn, if a face-up ""Crystal Beast"" monster(s) you control is destroyed by battle or card effect: You can Special Summon 1 ""Crystal Beast"" monster from your Deck. You can send this face-up card from the field to the GY, then target 1 ""Crystal Beast"" card you control and 1 card on the field; return them to the hand. You cannot activate these effects in the same Chain."
Crystal Keeper," Pendulum Effect Monster  Warrior  1500  1800","[ Pendulum Effect ] Each turn, the first time an ""Ultimate Crystal"" monster(s) and/or ""Crystal Beast"" card(s) you control would be destroyed by card effect that turn, it is not destroyed. ---------------------------------------- [ Monster Effect ] If a ""Crystal Beast"" monster you control battles an opponent's monster, during damage calculation (Quick Effect): You can Tribute this card from your hand or face-up from your field; your battling monster's ATK/DEF become double its original ATK/DEF during that damage calculation only, but it is destroyed at the end of this Damage Step."
Crystal Master," Pendulum Effect Monster  Spellcaster  1300  1000","[ Pendulum Effect ] Your opponent cannot target ""Ultimate Crystal"" monsters or ""Crystal Beast"" cards you control with card effects. ---------------------------------------- [ Monster Effect ] You can Tribute this card; add 1 ""Ultimate Crystal"" monster, ""Crystal Beast"" monster, or ""Crystal"" Spell/Trap from your Deck to your hand."
Cybersal Cyclone," Spell Card  Quick-Play","Target 1 Link Monster your opponent controls; banish 1 monster from your GY that has the same Link Rating as that monster, and if you do, destroy that monster, then, if the original Type of the monster you banished was Cyberse, you can destroy 1 face-up card in your opponent's Spell & Trap Zone."
Defrag Dragon," Effect Monster  Dragon  1000  600","You can Special Summon this card (from your hand) by sending 1 other monster from your hand to the GY. You can only Special Summon ""Defrag Dragon"" once per turn this way. If this card is in the GY: You can banish 3 monsters from your GY with the same name, except ""Defrag Dragon""; Special Summon this card. You can only use this effect of ""Defrag Dragon"" once per turn."
Degrade Buster," Effect Monster  Cyberse  2500  2500","Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 2 Cyberse monsters from your GY. You can target 1 monster your opponent controls with higher ATK than this card (Quick Effect); banish it until the End Phase. You can only use this effect of ""Degrade Buster"" once per turn."
Elemental Training," Trap Card  Continuous","Your opponent cannot target ""Palace of the Elemental Lords"" you control with card effects, also it cannot be destroyed by card effects. Once per turn: You can Tribute 1 monster; Special Summon 1 ""Elementsaber"" monster from your Deck with a different original Attribute than that monster's. You can send this face-up card from the field to the GY; discard your entire hand, then add ""Elemental Lord"" monsters from your GY to your hand, equal to the number of cards discarded."
Elementsaber Aina," Effect Monster  Warrior  900  1800","Once per turn: You can send 1 ""Elementsaber"" monster from your hand to the GY, then target 1 ""Elementsaber"" monster (except ""Elementsaber Aina"") or ""Elemental Lord"" monster (that has been properly Summoned) in your GY; Special Summon it, ignoring its Summoning conditions. Once per turn, if this card is in the GY: You can declare 1 Attribute; this card in the GY becomes that Attribute until the end of this turn."
Elementsaber Lapauila," Effect Monster  Warrior  400  2100","Once per turn, when a Spell/Trap Card is activated (Quick Effect): You can send 1 ""Elementsaber"" monster from your hand to the GY; negate the activation, and if you do, destroy it. Once per turn, if this card is in the GY: You can declare 1 Attribute; this card in the GY becomes that Attribute until the end of this turn."
Elementsaber Lapauila Mana," Effect Monster  Warrior  2400  2100","You can send 2 other monsters from your hand to the GY; Special Summon this card from your hand. You can only use this effect of ""Elementsaber Lapauila Mana"" once per turn. Apply the following effect(s) to ""Elementsaber"" and ""Elemental Lord"" monsters you control, depending on the original Attributes of any ""Elementsaber"" monsters sent to the GY to activate this card's effect. ● EARTH or WIND: Cannot be destroyed by battle. ● WATER or FIRE: Cannot be destroyed by effects. ● LIGHT or DARK: Your opponent cannot target it with card effects."
Elementsaber Makani," Effect Monster  Warrior  1300  1200","Once per turn: You can send 1 ""Elementsaber"" monster from your hand to the GY; add 1 ""Elementsaber"" or ""Elemental Lord"" monster from your Deck to your hand, except ""Elementsaber Makani"". Once per turn, if this card is in the GY: You can declare 1 Attribute; this card in the GY becomes that Attribute until the end of this turn."
Elementsaber Malo," Effect Monster  Warrior  1700  200","Once per turn: You can send 1 ""Elementsaber"" monster from your hand to the GY; send 1 ""Elementsaber"" or ""Elemental Lord"" monster from your Deck to the GY, except ""Elementsaber Malo"". Once per turn, if this card is in the GY: You can declare 1 Attribute; this card in the GY becomes that Attribute until the end of this turn."
Elementsaber Molehu," Effect Monster  Warrior  1900","Once per turn (Quick Effect): You can send 1 ""Elementsaber"" monster from your hand to the GY, then target 1 face-up monster on the field; change it to face-down Defense Position. Once per turn, if this card is in the GY: You can declare 1 Attribute; this card in the GY becomes that Attribute until the end of this turn."
Elementsaber Nalu," Effect Monster  Warrior  1500  1000","Once per turn: You can send 1 ""Elementsaber"" monster from your hand to the GY, then target 1 ""Elementsaber"" or ""Elemental Lord"" monster in your GY, except ""Elementsaber Nalu""; add it to your hand. Once per turn, if this card is in the GY: You can declare 1 Attribute; this card in the GY becomes that Attribute until the end of this turn."
F.A. Dark Dragster," Effect Monster  Machine  2000","Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by having a Level 7 or higher ""F.A."" monster on the field, but no ""F.A. Dark Dragster"" in your Monster Zone. Gains ATK equal to its Level x 300. Each time a ""F.A."" Spell/Trap Card or effect is activated: You can increase this card's Level by 1. Once per turn: You can target 1 card on the field; reduce this card's Level by 3, and if you do, destroy that target."
F.A. Dawn Dragster," Synchro Monster  Machine  2000","1 Tuner + 1+ non-Tuner monsters Gains ATK equal to its Level x 300. If this card attacks a Defense Position monster, inflict piercing battle damage. Each time a ""F.A."" Spell/Trap Card or effect is activated: You can increase this card's Level by 1. Once per turn, when your opponent activates a Spell/Trap Card or effect (Quick Effect): You can reduce this card's Level by 2, and if you do, negate the activation, and if you do that, destroy that card."
F.A. Dead Heat," Trap Card  Continuous","When an opponent's monster declares a direct attack: You can Special Summon 1 ""F.A."" monster from your Deck. You can only use this effect of ""F.A. Dead Heat"" once per turn. Once per battle, if your ""F.A."" monster battles an opponent's monster, before damage calculation: You can have both players roll a six-sided die. If your result is higher, increase the Level of your battling monster by 4, until the end of this turn (even if this card leaves the field). If your result is lower, destroy your battling monster. If it's a tie, both players roll again."
